Customer ID,Age,Gender,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Promo Dependency,CLV Proxy,Previous Purchases Scaled,Frequency Scaled,Promo Dep Scaled,Subscription Scaled,Loyalty Score,Loyal Customer,Satisfaction Tier,Customer Segment
58,21,Male,Outerwear,64,West Virginia,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,3,2,3264,3.27,3.33,10,10,2.2,0,1,Low-Engagement Casuals
59,69,Male,Clothing,54,Missouri,Summer,4.2,1,Free Shipping,1,1,29,Venmo,4,2,6264,5.71,5,10,10,3.57,0,1,At-Risk High-Value
60,63,Male,Accessories,79,Louisiana,Spring,4.6,1,Standard,1,1,4,Debit Card,2,2,632,0.61,1.67,10,10,0.76,0,1,Low-Engagement Casuals
61,50,Male,Clothing,37,Idaho,Summer,4,1,Express,1,1,17,Cash,2,2,1258,3.27,1.67,10,10,1.65,0,1,Low-Engagement Casuals
62,55,Male,Accessories,68,Texas,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,5,2,7140,4.08,6.67,10,10,3.58,0,1,At-Risk High-Value
63,30,Male,Footwear,21,Mississippi,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,3,2,1953,6.12,3.33,10,10,3.15,0,1,Low-Engagement Casuals
64,33,Male,Accessories,79,Arizona,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,2,2,6794,8.57,1.67,10,10,3.41,0,0,At-Risk High-Value
65,65,Male,Footwear,83,Alabama,Fall,4.8,1,Standard,1,1,18,Debit Card,3,2,4482,3.47,3.33,10,10,2.27,0,1,At-Risk High-Value
66,65,Male,Accessories,36,New Jersey,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,5,2,7920,8.78,6.67,10,10,5.15,0,1,At-Risk High-Value
67,31,Male,Clothing,94,Pennsylvania,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,5,2,1410,0.41,6.67,10,10,2.36,0,1,Low-Engagement Casuals
68,45,Male,Outerwear,33,Connecticut,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,4,2,6468,9.8,5,10,10,4.93,0,1,At-Risk High-Value
69,57,Male,Accessories,46,Utah,Summer,3.9,1,Next Day Air,1,1,21,Cash,5,2,4830,4.08,6.67,10,10,3.58,0,1,At-Risk High-Value
70,48,Male,Accessories,70,Tennessee,Summer,4.4,1,Express,1,1,5,Cash,2,2,700,0.82,1.67,10,10,0.83,0,1,Low-Engagement Casuals
71,22,Male,Accessories,29,Alabama,Fall,4.2,1,Express,1,1,32,Debit Card,5,2,4640,6.33,6.67,10,10,4.33,0,1,At-Risk High-Value
72,36,Male,Clothing,48,Virginia,Summer,2.9,1,Express,1,1,34,Bank Transfer,7,2,11424,6.73,10,10,10,5.58,0,0,At-Risk High-Value
73,18,Male,Clothing,26,Georgia,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,5,2,2730,4.08,6.67,10,10,3.58,0,0,Low-Engagement Casuals
74,48,Male,Clothing,85,Hawaii,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,1,2,3655,8.57,0,10,10,2.86,0,0,Low-Engagement Casuals
75,49,Male,Accessories,58,Indiana,Spring,4.5,1,Express,1,1,3,Cash,4,2,696,0.41,5,10,10,1.8,0,1,Low-Engagement Casuals
76,64,Male,Accessories,85,Utah,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,7,2,12495,4.08,10,10,10,4.69,0,0,At-Risk High-Value
77,50,Male,Accessories,43,Delaware,Summer,4.2,1,Free Shipping,1,1,32,Venmo,4,2,5504,6.33,5,10,10,3.78,0,1,At-Risk High-Value
78,22,Male,Clothing,53,Delaware,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,3,2,5724,7.14,3.33,10,10,3.49,0,0,At-Risk High-Value
79,50,Male,Clothing,91,Nebraska,Spring,4.7,1,Free Shipping,1,1,50,Venmo,3,2,13650,10,3.33,10,10,4.44,0,1,At-Risk High-Value
80,38,Male,Outerwear,96,Iowa,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,5,2,20640,8.57,6.67,10,10,5.08,0,0,At-Risk High-Value
81,19,Male,Footwear,72,New York,Summer,3.75,1,Store Pickup,1,1,24,Credit Card,5,2,8640,4.69,6.67,10,10,3.79,0,0,At-Risk High-Value
82,67,Male,Footwear,96,Virginia,Summer,2.6,1,Express,1,1,36,Credit Card,5,2,17280,7.14,6.67,10,10,4.6,0,0,At-Risk High-Value
83,19,Male,Clothing,28,Georgia,Spring,4,1,2-Day Shipping,1,1,21,Credit Card,5,2,2940,4.08,6.67,10,10,3.58,0,1,Low-Engagement Casuals
84,36,Male,Clothing,40,Texas,Summer,4.1,1,Standard,1,1,34,Bank Transfer,2,2,2720,6.73,1.67,10,10,2.8,0,1,Low-Engagement Casuals
85,52,Male,Outerwear,32,Arizona,Spring,4.4,1,Standard,1,1,42,Bank Transfer,5,2,6720,8.37,6.67,10,10,5.01,0,1,At-Risk High-Value
86,53,Male,Accessories,95,New Mexico,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,1,2,190,0.2,0,10,10,0.07,0,1,Low-Engagement Casuals
87,24,Male,Clothing,41,Nevada,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,1,2,1927,9.39,0,10,10,3.13,0,0,Low-Engagement Casuals
88,52,Male,Footwear,53,Ohio,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,3,2,6996,8.78,3.33,10,10,4.04,0,0,At-Risk High-Value
89,33,Male,Clothing,47,Wyoming,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,4,2,6580,6.94,5,10,10,3.98,0,0,At-Risk High-Value
90,47,Male,Outerwear,83,California,Fall,3.6,1,Next Day Air,1,1,15,Cash,6,2,7470,2.86,8.33,10,10,3.73,0,0,At-Risk High-Value
91,25,Male,Accessories,48,South Carolina,Summer,2.9,1,Express,1,1,29,Credit Card,4,2,5568,5.71,5,10,10,3.57,0,0,At-Risk High-Value
92,44,Male,Accessories,99,South Carolina,Winter,4.6,1,Standard,1,1,18,Credit Card,5,2,8910,3.47,6.67,10,10,3.38,0,1,At-Risk High-Value
93,61,Male,Outerwear,87,Texas,Winter,4.4,1,2-Day Shipping,1,1,13,Venmo,5,2,5655,2.45,6.67,10,10,3.04,0,1,At-Risk High-Value
94,37,Male,Clothing,62,Florida,Fall,4.5,1,Standard,1,1,46,Credit Card,2,2,5704,9.18,1.67,10,10,3.62,0,1,At-Risk High-Value
95,58,Male,Clothing,76,Nevada,Spring,4.6,1,Free Shipping,1,1,28,Credit Card,2,2,4256,5.51,1.67,10,10,2.39,0,1,At-Risk High-Value
96,37,Male,Footwear,100,Missouri,Fall,3.8,1,Free Shipping,1,1,48,PayPal,4,2,19200,9.59,5,10,10,4.86,0,1,At-Risk High-Value
97,32,Male,Accessories,73,Delaware,Spring,3.75,1,Express,1,1,43,Venmo,5,2,15695,8.57,6.67,10,10,5.08,0,0,At-Risk High-Value
98,21,Male,Footwear,92,Virginia,Winter,4.8,1,Store Pickup,1,1,37,Cash,7,2,23828,7.35,10,10,10,5.78,0,1,At-Risk High-Value
99,20,Male,Clothing,67,New York,Spring,2.6,1,Next Day Air,1,1,20,Bank Transfer,7,2,9380,3.88,10,10,10,4.63,0,0,At-Risk High-Value
100,26,Male,Clothing,40,Missouri,Summer,3.7,1,Express,1,1,33,Debit Card,6,2,7920,6.53,8.33,10,10,4.95,0,0,At-Risk High-Value
101,62,Male,Accessories,98,South Dakota,Fall,2.7,1,Express,1,1,31,Cash,3,2,9114,6.12,3.33,10,10,3.15,0,0,At-Risk High-Value
102,27,Male,Outerwear,85,North Dakota,Spring,4.6,1,Express,1,1,50,Credit Card,1,2,4250,10,0,10,10,3.33,0,1,At-Risk High-Value
103,51,Male,Clothing,67,Oklahoma,Winter,4.8,1,Next Day Air,1,1,35,Credit Card,6,2,14070,6.94,8.33,10,10,5.09,0,1,At-Risk High-Value
104,54,Male,Footwear,89,West Virginia,Winter,4,1,Next Day Air,1,1,22,Venmo,1,2,1958,4.29,0,10,10,1.43,0,1,Low-Engagement Casuals
105,55,Male,Accessories,24,New Hampshire,Spring,4.4,1,2-Day Shipping,1,1,1,PayPal,4,2,96,0,5,10,10,1.67,0,1,Low-Engagement Casuals
106,69,Male,Accessories,96,New York,Fall,3.6,1,Next Day Air,1,1,4,Bank Transfer,7,2,2688,0.61,10,10,10,3.54,0,0,Low-Engagement Casuals
107,64,Male,Outerwear,35,Minnesota,Summer,3.7,1,Standard,1,1,31,Credit Card,4,2,4340,6.12,5,10,10,3.71,0,0,At-Risk High-Value
108,28,Male,Footwear,67,Maryland,Winter,3.1,1,Next Day Air,1,1,46,PayPal,3,2,9246,9.18,3.33,10,10,4.17,0,0,At-Risk High-Value
109,70,Male,Clothing,79,Montana,Spring,3.4,1,Next Day Air,1,1,32,Bank Transfer,1,2,2528,6.33,0,10,10,2.11,0,0,Low-Engagement Casuals
110,58,Male,Clothing,85,Alabama,Spring,2.6,1,Next Day Air,1,1,43,Bank Transfer,3,2,10965,8.57,3.33,10,10,3.97,0,0,At-Risk High-Value
111,56,Male,Accessories,26,New York,Summer,4,1,Standard,1,1,26,Venmo,3,2,2028,5.1,3.33,10,10,2.81,0,1,Low-Engagement Casuals
112,26,Male,Accessories,75,Massachusetts,Summer,5,1,Free Shipping,1,1,9,Credit Card,7,2,4725,1.63,10,10,10,3.88,0,1,At-Risk High-Value
113,37,Male,Accessories,65,Florida,Spring,4.3,1,Free Shipping,1,1,28,PayPal,1,2,1820,5.51,0,10,10,1.84,0,1,Low-Engagement Casuals
114,44,Male,Accessories,54,New Jersey,Winter,3.1,1,Next Day Air,1,1,20,PayPal,6,2,6480,3.88,8.33,10,10,4.07,0,0,At-Risk High-Value
115,70,Male,Outerwear,95,Massachusetts,Summer,3.7,1,Store Pickup,1,1,9,Cash,2,2,1710,1.63,1.67,10,10,1.1,0,0,Low-Engagement Casuals
116,53,Male,Clothing,94,Wyoming,Spring,3.8,1,Standard,1,1,48,Debit Card,5,2,22560,9.59,6.67,10,10,5.42,0,1,At-Risk High-Value
117,55,Male,Footwear,86,Virginia,Spring,3.4,1,Free Shipping,1,1,12,Venmo,7,2,7224,2.24,10,10,10,4.08,0,0,At-Risk High-Value
118,50,Male,Footwear,32,South Dakota,Summer,4.6,1,Express,1,1,29,Cash,3,2,2784,5.71,3.33,10,10,3.01,0,1,Low-Engagement Casuals
119,50,Male,Clothing,45,Kentucky,Fall,4.8,1,2-Day Shipping,1,1,27,Cash,1,2,1215,5.31,0,10,10,1.77,0,1,Low-Engagement Casuals
120,38,Male,Outerwear,76,Wyoming,Fall,4.3,1,Express,1,1,44,Cash,7,2,23408,8.78,10,10,10,6.26,0,1,At-Risk High-Value
121,64,Male,Accessories,84,West Virginia,Summer,4,1,Express,1,1,32,Bank Transfer,7,2,18816,6.33,10,10,10,5.44,0,1,At-Risk High-Value
122,19,Male,Clothing,72,Virginia,Winter,4.2,1,Standard,1,1,11,Cash,3,2,2376,2.04,3.33,10,10,1.79,0,1,Low-Engagement Casuals
123,40,Male,Accessories,40,Washington,Spring,4.8,1,2-Day Shipping,1,1,44,Cash,3,2,5280,8.78,3.33,10,10,4.04,0,1,At-Risk High-Value
124,57,Male,Clothing,89,Louisiana,Fall,3.1,1,Free Shipping,1,1,46,Cash,2,2,8188,9.18,1.67,10,10,3.62,0,0,At-Risk High-Value
125,44,Male,Clothing,86,Nevada,Spring,3.1,1,Next Day Air,1,1,50,PayPal,7,2,30100,10,10,10,10,6.67,0,0,At-Risk High-Value
126,49,Male,Clothing,54,California,Winter,3.6,1,Next Day Air,1,1,45,Venmo,5,2,12150,8.98,6.67,10,10,5.22,0,0,At-Risk High-Value
127,43,Male,Clothing,36,Mississippi,Spring,3.9,1,Store Pickup,1,1,48,Cash,5,2,8640,9.59,6.67,10,10,5.42,0,1,At-Risk High-Value
128,24,Male,Clothing,89,Mississippi,Winter,4.8,1,Next Day Air,1,1,26,Credit Card,2,2,4628,5.1,1.67,10,10,2.26,0,1,At-Risk High-Value
129,20,Male,Accessories,32,California,Spring,4.7,1,Standard,1,1,21,Credit Card,3,2,2016,4.08,3.33,10,10,2.47,0,1,Low-Engagement Casuals
130,24,Male,Clothing,67,Pennsylvania,Summer,4.2,1,2-Day Shipping,1,1,49,PayPal,1,2,3283,9.8,0,10,10,3.27,0,1,Low-Engagement Casuals
131,44,Male,Accessories,39,Kentucky,Fall,3.7,1,Next Day Air,1,1,13,PayPal,3,2,1521,2.45,3.33,10,10,1.93,0,0,Low-Engagement Casuals
132,28,Male,Clothing,29,Maine,Summer,3.9,1,Standard,1,1,46,Credit Card,2,2,2668,9.18,1.67,10,10,3.62,0,1,Low-Engagement Casuals
133,30,Male,Accessories,58,New Mexico,Fall,4.7,1,2-Day Shipping,1,1,42,PayPal,2,2,4872,8.37,1.67,10,10,3.35,0,1,At-Risk High-Value
134,52,Male,Clothing,65,Montana,Winter,2.5,1,Next Day Air,1,1,25,Venmo,7,2,11375,4.9,10,10,10,4.97,0,0,At-Risk High-Value
135,43,Male,Accessories,94,Texas,Fall,4.9,1,Store Pickup,1,1,25,Cash,4,2,9400,4.9,5,10,10,3.3,0,1,At-Risk High-Value
136,43,Male,Footwear,81,Kansas,Fall,4.1,1,Express,1,1,12,PayPal,6,2,5832,2.24,8.33,10,10,3.52,0,1,At-Risk High-Value
137,39,Male,Clothing,86,South Carolina,Winter,3.3,1,Free Shipping,1,1,4,Debit Card,6,2,2064,0.61,8.33,10,10,2.98,0,0,Low-Engagement Casuals
138,68,Male,Footwear,43,Colorado,Spring,4.7,1,Free Shipping,1,1,38,PayPal,2,2,3268,7.55,1.67,10,10,3.07,0,1,Low-Engagement Casuals
139,68,Male,Clothing,29,Georgia,Winter,4.4,1,Store Pickup,1,1,42,Bank Transfer,2,2,2436,8.37,1.67,10,10,3.35,0,1,Low-Engagement Casuals
140,49,Male,Outerwear,95,Florida,Fall,3.8,1,Store Pickup,1,1,30,Venmo,7,2,19950,5.92,10,10,10,5.31,0,1,At-Risk High-Value
141,63,Male,Clothing,28,North Carolina,Fall,3.9,1,2-Day Shipping,1,1,50,Credit Card,2,2,2800,10,1.67,10,10,3.89,0,1,Low-Engagement Casuals
142,56,Male,Accessories,46,Virginia,Fall,4.9,1,Free Shipping,1,1,45,PayPal,2,2,4140,8.98,1.67,10,10,3.55,0,1,Low-Engagement Casuals
143,37,Male,Outerwear,58,Nebraska,Fall,3.1,1,Free Shipping,1,1,33,Credit Card,3,2,5742,6.53,3.33,10,10,3.29,0,0,At-Risk High-Value
144,30,Male,Outerwear,48,Missouri,Fall,2.7,1,Store Pickup,1,1,25,PayPal,6,2,7200,4.9,8.33,10,10,4.41,0,0,At-Risk High-Value
145,19,Male,Footwear,43,New Jersey,Fall,3.2,1,Express,1,1,25,Cash,4,2,4300,4.9,5,10,10,3.3,0,0,At-Risk High-Value
146,24,Male,Accessories,95,Missouri,Fall,4.5,1,Standard,1,1,44,Debit Card,6,2,25080,8.78,8.33,10,10,5.7,0,1,At-Risk High-Value
147,52,Male,Clothing,30,Colorado,Fall,4,1,Standard,1,1,21,Venmo,3,2,1890,4.08,3.33,10,10,2.47,0,1,Low-Engagement Casuals
148,63,Male,Footwear,64,Idaho,Summer,3.5,1,2-Day Shipping,1,1,31,Bank Transfer,3,2,5952,6.12,3.33,10,10,3.15,0,0,At-Risk High-Value
149,37,Male,Accessories,90,Wyoming,Fall,2.6,1,Store Pickup,1,1,47,Debit Card,7,2,29610,9.39,10,10,10,6.46,0,0,At-Risk High-Value
150,38,Male,Clothing,76,Delaware,Summer,3.2,1,Free Shipping,1,1,14,PayPal,4,2,4256,2.65,5,10,10,2.55,0,0,At-Risk High-Value
151,35,Male,Footwear,96,California,Fall,4.9,1,Standard,1,1,17,Debit Card,5,2,8160,3.27,6.67,10,10,3.31,0,1,At-Risk High-Value
152,28,Male,Accessories,47,North Dakota,Fall,4.5,1,Next Day Air,1,1,3,Venmo,7,2,987,0.41,10,10,10,3.47,0,1,Low-Engagement Casuals
153,30,Male,Clothing,85,South Carolina,Summer,4.3,1,Express,1,1,42,Venmo,7,2,24990,8.37,10,10,10,6.12,0,1,At-Risk High-Value
154,69,Male,Clothing,55,North Carolina,Winter,3.2,1,Standard,1,1,22,Debit Card,7,2,8470,4.29,10,10,10,4.76,0,0,At-Risk High-Value
155,41,Male,Clothing,98,Oklahoma,Fall,3.6,1,Next Day Air,1,1,21,Venmo,6,2,12348,4.08,8.33,10,10,4.14,0,0,At-Risk High-Value
156,63,Male,Clothing,77,Maine,Spring,4.3,1,Free Shipping,1,1,21,Bank Transfer,6,2,9702,4.08,8.33,10,10,4.14,0,1,At-Risk High-Value
157,35,Male,Clothing,26,Missouri,Fall,4,1,Standard,1,1,40,Debit Card,7,2,7280,7.96,10,10,10,5.99,0,1,At-Risk High-Value
158,36,Male,Accessories,68,Vermont,Fall,3,1,Next Day Air,1,1,1,Bank Transfer,3,2,204,0,3.33,10,10,1.11,0,0,Low-Engagement Casuals
159,25,Male,Clothing,73,Connecticut,Fall,4.1,1,Standard,1,1,50,Bank Transfer,4,2,14600,10,5,10,10,5,0,1,At-Risk High-Value
160,58,Male,Accessories,27,New Hampshire,Fall,3.8,1,Store Pickup,1,1,39,Bank Transfer,5,2,5265,7.76,6.67,10,10,4.81,0,1,At-Risk High-Value
161,27,Male,Accessories,23,Texas,Summer,4.6,1,Free Shipping,1,1,34,Venmo,4,2,3128,6.73,5,10,10,3.91,0,1,Low-Engagement Casuals
162,65,Male,Accessories,49,North Dakota,Fall,3,1,Express,1,1,29,Venmo,3,2,4263,5.71,3.33,10,10,3.01,0,0,At-Risk High-Value
